"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"270",45,"SIA/OR/MIN/230818/2021","Damol Sand Quarry over an area of 4.05 Ha or 10.00 Acres at village Damol under Sarang Panchayat of Parjang Tahasil of Dhenkanal district, Odisha.","Non-Coal Mining","24 Sep 2021","24/09/2021","28/09/2021","","","","","","","","WithdrawEC"
"271",46,"SIA/OR/MIN/255549/2022","Jamunaposi Stone Quarry over an area of 2.50 acres or 1.012 hectares in village Jamunaposi under Patna Tahasil of Keonjhar District of Odisha.","Non-Coal Mining","11 Feb 2022","11/02/2022","","","13/03/2022","","","11/04/2022","19/04/2022","06/05/2022","EC Granted"
"272",47,"SIA/OR/MIN/255569/2022","Proposal for grant EC of PUSPALLI SAND QUARRY over an area 7.41acres or 3.000hect. in Puspalli village of Malkangiri Tahasil in Malkangiri dist, Odisha","Non-Coal Mining","08 Feb 2022","08/02/2022","","","01/03/2022","","","14/03/2022","24/03/2022","","Rejection Letter Granted"
"273",48,"SIA/OR/MIN/279361/2022","New proposed project of Gudiali-1 Stone  Quarry with proposed excavation of 9855 CUM/year of stone of Tahasildar Kabisuryanagar having an area of 4.856 Ha. Located at Khata No. 2203, Plot No. 8613/A & 8614/A,  At-  Gudiali, Tahasil- Kabisuryanagar, D","Non-Coal Mining","23 Jun 2022","","","","","","","","","","WithdrawEC"
"274",49,"SIA/OR/MIN/58376/2020","Cluster-5 mine  constituted of Dankari, Barada & Baraman hillocks over an area of 243.19 Acres or 98.42 Hectares located in villages/Mouza Dankari, Barada & Baraman under Dharmasala Tahasil of District Jajpur, Odisha including 24 nos of mining lease areas.","Non-Coal Mining","10 Feb 2021","25/11/2020","01/02/2021","10/02/2021","06/03/2021","","","22/03/2021","07/08/2021","01/01/1900","EC Granted"
"275",49,"SIA/OR/MIN/58376/2020","Cluster-5 mine  constituted of Dankari, Barada & Baraman hillocks over an area of 243.19 Acres or 98.42 Hectares located in villages/Mouza Dankari, Barada & Baraman under Dharmasala Tahasil of District Jajpur, Odisha including 24 nos of mining lease areas.","Non-Coal Mining","10 Feb 2021","25/11/2020","01/02/2021","10/02/2021","06/03/2021","","","22/03/2021","07/08/2021","01/01/1900","EC Granted"
"276",50,"SIA/OR/MIN/240679/2021","DURGAPURKUDA-II SAND QUARRY(BRAHMANI RIVER)OVER AN AREA OF 12.30 ACRES OR 4.977HA. IN VILLAGE DURGAPURKUDA UNDER RASULPUR TAHSIL OF JAJPUR DISTRICT, ODISHA.","Non-Coal Mining","04 Jan 2022","25/11/2021","29/12/2021","04/01/2022","20/01/2022","","","22/02/2022","24/03/2022","07/04/2022","EC Granted"
"277",51,"SIA/OR/MIN/62071/2021","Guitana, Nagrigudari, Kainjhar sand mining project","Non-Coal Mining","04 Mar 2022","04/03/2022","","","17/03/2022","","","29/03/2022","","03/06/2022","EC Granted"
"278",52,"SIA/OR/MIN/280042/2022","PROPOSAL FOR FRESH EC OF DABARDHUA BOULDER QUARRY OVER AN AREA OF 1.00 ACRES OR 0.404 HECTARES AT VILLAGE DABARDHUA UNDER BOLAGARH TAHASIL OF KHORDHA DISTRICT, ODISHA","Non-Coal Mining","25 Jun 2022","25/06/2022","","","05/07/2022","","","22/07/2022","","","Delisted"
"279",53,"SIA/OR/MIN/228477/2021","BUDHABALANGA SAND BED, PRATAPPUR OVER AN AREA OF 12.35 ACRES OR 5.00 HECTARES IN VILLAGE PRATAPPUR UNDER BADASAHI TAHASIL OF MAYURBHANJ DISTRICT ODISHA","Non-Coal Mining","06 Dec 2021","08/09/2021","22/09/2021","06/12/2021","08/12/2021","","","01/01/2022","11/01/2022","01/02/2022","EC Granted"
"280",54,"SIA/OR/MIN/286737/2022","Proposal for grant of EC of CHIKINIPALI STONE QUARRY  over an area 2.62ac or 1.060Ha in Chikinipali village of Barpali tahasil in Bargarh district Odisha","Non-Coal Mining","02 Aug 2022","02/08/2022","","","04/08/2022","","","17/08/2022","","22/09/2022","EC Granted"
"281",55,"SIA/OR/MIS/287049/2022","Environmental Clearance for Expansion and Modification  of proposed “Development of an Affordable Housing Project Over 20.21 Acres at Chandrasekharpur, Bhubaneswar with (G+4) Residential Buildings” ” [Private Developer Project] At mouza-Chandrasekhar","INFRA-2","16 Aug 2022","05/08/2022","16/08/2022","16/08/2022","16/08/2022","","","22/08/2022","","","Rejection Letter Granted"
"282",0,"SIA/OR/MIN/271591/2022","Bhanda Sand Quarry over an area of 1.60 ac or 0.65 ha in village Bhanda of Champua Tahasil of Keonjhar district, Odisha.","Non-Coal Mining","07 May 2022","07/05/2022","","","23/05/2022","","","03/06/2022","","18/07/2022","EC Granted"
"283",0,"SIA/OR/MIN/271591/2022","Bhanda Sand Quarry over an area of 1.60 ac or 0.65 ha in village Bhanda of Champua Tahasil of Keonjhar district, Odisha.","Non-Coal Mining","07 May 2022","07/05/2022","","","23/05/2022","","","03/06/2022","","18/07/2022","EC Granted"
"284",1,"SIA/OR/MIS/222528/2021","Proposed Residential Apartment Building  “Grace”","INFRA-2","15 Nov 2021","01/08/2021","06/11/2021","15/11/2021","22/11/2021","","","02/12/2021","","","WithdrawEC"
"285",2,"SIA/OR/MIN/238540/2021","Ektali Stone Quarry- Kha, over an area of 2.79 acres or 1.129 ha under Bhuban Tahasil, Odisha","Non-Coal Mining","22 Feb 2022","12/11/2021","14/11/2021","22/02/2022","16/03/2022","","","11/04/2022","20/04/2022","12/05/2022","EC Granted"
"286",3,"SIA/OR/MIN/69128/2021","Environmental Clearance for River Sand  Mining of 14440 Cum/Annum over Madhyasasan Sand Quarry (ML area 5.99ha ) at Village Madhyasasan, Tahasil-Biridi, Dist- Jagatsinghpur, Odisha","Non-Coal Mining","15 Nov 2021","15/11/2021","","","22/11/2021","","","02/12/2021","03/03/2022","03/06/2022","EC Granted"
"287",4,"SIA/OR/MIN/238576/2021","H. Katapali Sand Quarry","Non-Coal Mining","14 Jan 2022","13/11/2021","14/11/2021","14/01/2022","27/01/2022","","","22/02/2022","21/04/2022","06/05/2022","EC Granted"
"288",5,"SIA/OR/MIN/58503/2020","Gunupur Sand Bed-I over an Area of 15.00 Acres/ 6.070 Ha At- Gunupur, Tahasil- Gunupur, District- Rayagada","Non-Coal Mining","06 Apr 2022","06/04/2022","","","19/04/2022","","","27/04/2022","","22/07/2022","EC Granted"
"289",6,"SIA/OR/MIN/263290/2022","For the grant of EC of Dankari Black Stone quarry No-2/3 (Khata No-S-221,H-465, Plot No-S-600(P),H-2006) over an area of 4.00 acres or 1.618 hacters in village Dankari under Dharmasala Tahasil of Jajpur District, Odisha.","Non-Coal Mining","16 Apr 2022","24/03/2022","10/04/2022","16/04/2022","07/05/2022","","","10/05/2022","","02/06/2022","EC Granted"
"290",7,"SIA/OR/MIN/66728/2021","Patamunda manganese mine over an area of 43.532 Ha. At Village: Patamunda, Tahasil : Koida, District: Sundergarh, Odisha.","Non-Coal Mining","30 Jun 2022","30/06/2022","","","04/07/2022","","","22/07/2022","","","Awaiting EC"
"291",8,"SIA/OR/MIN/237461/2021","Upper Kaipada Sand Quarry over an area of 10.45 Acres or 4.229 Hectares having Khata No.585, Plot nos. 568(p) & 569(p) in village Upper Kaipada under Bari Tahasil of Jajpur district, Odisha","Non-Coal Mining","07 Nov 2021","07/11/2021","","","12/11/2021","","","16/12/2021","11/01/2022","25/01/2022","EC Granted"
"292",9,"SIA/OR/MIN/255450/2022","Proposal for grant EC of DHARIGUDA STONE QUARRY-A over an area 11.20acres or 4.534hect. in Dhariguda Village of Malkangiri Tahasil in Malkangiri dist, Odisha","Non-Coal Mining","10 May 2022","07/02/2022","07/05/2022","10/05/2022","25/06/2022","","","22/07/2022","","22/09/2022","EC Granted"
"293",10,"SIA/OR/MIN/255250/2022","Proposal for grant of Environmental Clearance of Kendugufka Stone Quarry-II over an area of 3.00Acres or 1.214 Hectares in village Kendugufka under Kalahandi tahasil of Kalahandi district.","Non-Coal Mining","05 Feb 2022","05/02/2022","07/02/2022","","","","","","","","Delisted"
"294",11,"SIA/OR/MIN/245876/2021","KARANDA BLACK STONE QUARRY-4 OVER AN AREA OF 3.379 HA. UNDER HINDOL TAHASIL OF DHENKANAL DISTRICT ODISHA","Non-Coal Mining","03 Aug 2023","18/12/2021","04/07/2023","03/08/2023","08/08/2023","","07/09/2022","06/09/2023","","","Deferred by SEIAA"
"295",12,"SIA/OR/MIN/247371/2021","Jodida Stone Quarry over an area of 3.27 Acre or 1.32 Hectares in village Jodida under Kusumi Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","25 Dec 2021","25/12/2021","","","13/01/2022","","","03/02/2022","15/02/2022","11/03/2022","EC Granted"
"296",13,"SIA/OR/MIN/226937/2021","SANKHARI EAST WEST STONE QUARRY(KA)","Non-Coal Mining","09 Sep 2021","30/08/2021","06/09/2021","09/09/2021","02/11/2021","","","05/11/2021","05/11/2021","19/11/2021","EC Granted"
"297",14,"SIA/OR/MIN/263250/2022","RAHADPUR BLACK STONE QUARRY NO 9 5 OVER 7.50 ACRES OR 3.035 HECT IN VILLAGE RAHADPUR UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","Non-Coal Mining","28 Apr 2022","24/03/2022","10/04/2022","28/04/2022","07/05/2022","","","10/05/2022","","02/06/2022","EC Granted"
"298",15,"SIA/OR/MIN/277688/2022","Bengasahi Stone Quarry over an area of 2.557 acres or 1.035 hectares bearing Khata no.149, Plot no.191 in Bengasahi village of Tikabali Tahasil, District- Kandhamal State Odisha","Non-Coal Mining","10 Jun 2022","10/06/2022","","","02/07/2022","","","22/07/2022","","04/08/2022","EC Granted"
"299",16,"SIA/OR/MIN/278307/2022","PROPOSAL FOR FRESH EC OF KANABHAGA STONE QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES AT VILLAGE KANABHAGA UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA OF SRI KESHARAO DORA","Non-Coal Mining","15 Jun 2022","15/06/2022","","","27/06/2022","","","22/07/2022","","30/07/2022","EC Granted"
"300",17,"SIA/OR/MIN/56502/2020","Khairabathi Stone Deposit","Non-Coal Mining","31 Dec 2021","14/12/2021","20/12/2021","31/12/2021","04/01/2022","","","10/01/2022","27/01/2022","08/02/2022","EC Granted"
"301",18,"SIA/OR/IND2/154424/2020","Oil And Gas Exploratory Block Name:MN-ONHP-2018/2","Industrial Projects - 2","11 Sep 2020","11/09/2020","","","20/11/2020","","","27/11/2020","28/12/2020","01/01/1900","EC Granted"
"302",19,"SIA/OR/MIN/72996/2020","New proposed project of Tentuapada Sand Quarry with proposed excavation of 5250m3/year of sand of M/s PREMEX having an area of 5.666 Ha. Located at Khata No. 324, Plot No. 1603, 1665 & 1666, Village: Tentuapada, Tahasil: Digapahandi, District: Ganjam, Odisha.","Non-Coal Mining","31 Mar 2022","31/03/2022","","","25/04/2022","","","27/04/2022","","30/06/2022","EC Granted"
"303",0,"SIA/OR/MIS/112016/2019","“Ananya Palm Beach” Residential Apartment cum Guest House Project of M/s Prabhukrupa Realties Private Limited at Mouza- Sipasurubuli , Tehsil -Puri Sadar & District- Puri,  State- Odisha.","INFRA-2","25 Sep 2019","25/09/2019","31/08/2019","25/09/2019","10/10/2019","","","10/10/2019","13/12/2020","01/01/1900","EC Granted"
"304",0,"SIA/OR/MIS/112016/2019","“Ananya Palm Beach” Residential Apartment cum Guest House Project of M/s Prabhukrupa Realties Private Limited at Mouza- Sipasurubuli , Tehsil -Puri Sadar & District- Puri,  State- Odisha.","INFRA-2","25 Sep 2019","25/09/2019","31/08/2019","25/09/2019","10/10/2019","","","10/10/2019","13/12/2020","01/01/1900","EC Granted"
"305",1,"SIA/OR/MIN/49480/2018","Ghatapada garnet mines over an area of 25.127Ha at village Ghatapada, tahasil Kesinga, district Kalahandi, Odisha of Sri Bijay Kumar Bansal.","Non-Coal Mining","10 Jan 2020","09/01/2020","10/01/2020","10/01/2020","28/01/2020","","","31/01/2020","27/02/2020","21/03/2020","EC Granted"
"306",2,"SIA/OR/MIN/247570/2021","Uperbeda Rangamatia Sand Bed over an area of 12.05 ac or 4.876 ha in village Uperbeda Rangamatia of Kusumi Tahasil of Mayurbhanj district, Odisha.","Non-Coal Mining","26 Dec 2021","26/12/2021","","","13/01/2022","","","03/02/2022","15/02/2022","11/03/2022","EC Granted"
"307",3,"SIA/OR/MIN/280412/2022","Tiridabanjara - B  Stone Quarry over an area of 6.750 acres or  2.731 hectares bearing Khata no. 339, Plot no. 1259, in village Tiridabanjara, Tahasil- Kodala, District- Ganjam State Odisha.","Non-Coal Mining","22 Jul 2022","27/06/2022","01/08/2022","22/07/2022","","","","","","","WithdrawEC"
"308",4,"SIA/OR/MIS/132436/2019","“Nilamadhav awas yojana an in-situ slum redevelopment project on Public Private Partnership (PPP) model”  at Chandrasekharpur, Bhubaneswar, Odisha over an area of 5.317 acres with  built up area of 40","INFRA-2","19 Dec 2019","19/12/2019","","","","","","","","","Delisted"
"309",5,"SIA/OR/MIN/243916/2021","Ramial River Sand  Quarry(5.742 Ha. )","Non-Coal Mining","15 Dec 2021","09/12/2021","13/12/2021","15/12/2021","21/12/2021","","","24/12/2021","21/01/2022","08/02/2022","EC Granted"
"310",6,"SIA/OR/MIN/259114/2022","RAHADPUR BLACK STONE QUARRY OVER 10.00 ACRES OR 4.05 HECT. IN VILLAGE RAHADPUR UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","Non-Coal Mining","07 Apr 2022","02/03/2022","17/03/2022","07/04/2022","06/05/2022","","","10/05/2022","","02/06/2022","EC Granted"
"311",7,"SIA/OR/MIN/265677/2022","Proposal for EC of Sargadi Stone Quarry 2B over an area 8.00 acres or 3.237hectares in Sargadi village of Khariar tahasil in Nuapada district Odisha.","Non-Coal Mining","27 Jul 2022","02/04/2022","16/07/2022","27/07/2022","03/08/2022","","","17/08/2022","","22/09/2022","EC Granted"
"312",8,"SIA/OR/MIN/75352/2020","For the grant of EC of Baraman Black Stone quarry No-02 (Cluster Serial No-5F/1), (Khata No-247, Plot No-1261) over an area of 7.30 acres or 2.95 hacters in village Baraman under Dharmasala Tahasil of Jajpur District, Odisha.","Non-Coal Mining","17 Apr 2022","17/04/2022","","","07/05/2022","","","10/05/2022","","03/06/2022","EC Granted"
"313",9,"SIA/OR/MIN/282474/2022","Jakameripalli Sand Quarry over an area of 8.125 acres or 3.2881 hectares  bearing Khata no. - 403, Plot no. – 1737 in village Jakameripalli, Tahasil Digapahandi, District Ganjam, State Odisha.","Non-Coal Mining","17 Aug 2022","08/07/2022","18/07/2022","17/08/2022","22/08/2022","","","06/09/2022","","","Delisted"
"314",10,"SIA/OR/MIN/281568/2022","Kutikia Stone Quarry over an area of 6.058 acres or 2.452 hectares bearing Khata no. 230, Plot no. 1597 in Kutikia village of Balliguda Tahasil, District- Kandhamal State Odisha","Non-Coal Mining","04 Jul 2022","04/07/2022","","","05/07/2022","","","22/07/2022","","17/08/2022","EC Granted"
"315",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"316",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"317",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"318",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"319",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"320",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"321",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"322",11,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"323",12,"SIA/OR/MIN/249656/2022","Kathasangada-I Sand Bed, Over an area of 9.75 Acres or 3.945 hectares in village Kathasangada & Haladia under Remuna Tahasil of Balasore District of Odisha.","Non-Coal Mining","21 Jan 2022","04/01/2022","20/01/2022","21/01/2022","28/01/2022","","","22/02/2022","06/03/2022","31/03/2022","EC Granted"
"324",13,"SIA/OR/MIN/248294/2021","Pallur Hill Stone Quarry over an area of 1.00 acres or 0.404 hectares bearing khata no. 42, plot no. 66/A in village Pallur Hill, Tahasil- Konisi under Ganjam District, Odisha.","Non-Coal Mining","29 Dec 2021","29/12/2021","","","11/01/2022","","","03/02/2022","21/04/2022","11/05/2022","EC Granted"
"325",14,"SIA/OR/MIN/259753/2022","Chhatabara sand quarry (Khata No-60, Plot No-699(P)) over an area of 5.56 acres or 2.253 hacters in village Chhatabara under Bamra Tahasil of Sambalpur District, Odisha.","Non-Coal Mining","20 Apr 2022","04/03/2022","17/03/2022","20/04/2022","13/05/2022","","","20/05/2022","","22/07/2022","EC Granted"
"326",15,"SIA/OR/MIN/262098/2022","Mohuda Stone Quarry over an area of 5.350 acres or 2.165 ha bearing Khata no. 669 Plot no. 1406 in village Mohuda, Tahasil Kukudakhandi, district Ganjam, State Odisha","Non-Coal Mining","13 May 2022","16/03/2022","04/05/2022","13/05/2022","27/06/2022","","","22/07/2022","","30/07/2022","EC Granted"
"327",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Site Visit by SEAC(Pending)"
"328",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"329",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"330",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"331",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Delisted"
"332",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"333",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"334",16,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"335",17,"SIA/OR/MIS/218923/2021","Regularization of B+G+5 Hospital Building & Amphitheatre of M/s Jai Prakash Hospital and Research centre Pvt. Ltd.","INFRA-2","26 Jul 2021","14/07/2021","26/07/2021","26/07/2021","16/08/2021","","","21/08/2021","","","Rejection Letter Granted"
"336",18,"SIA/OR/MIS/220279/2021","Khusi Realcon-2","INFRA-2","16 Jul 2021","16/07/2021","","","16/08/2021","","","21/08/2021","22/03/2022","06/04/2022","EC Granted"
"337",19,"SIA/OR/MIN/260679/2022","Balaranga Stone Quarry A","Non-Coal Mining","27 Mar 2022","09/03/2022","21/04/2022","27/03/2022","","","","","","","Delisted"
"338",20,"SIA/OR/MIS/263334/2022","Residential Project at Mouza Bomikhal Rasulgarh Square Bhubaneswar Khurda Odisha","INFRA-2","24 May 2022","25/03/2022","23/05/2022","24/05/2022","24/05/2022","","","25/05/2022","","20/03/2023","EC Granted"
"339",21,"SIA/OR/MIN/283609/2022","PROPOSAL FOR FRESH EC OF SULIAPALLI STONE QUARRY PART-A OVER AN AREA OF 1.255 ACRES OR 0.508 HECTARES AT VILLAGE SULIAPALLI UNDER BANPUR TAHASIL OF KHORDHA  DISTRICT, ODISHA","Non-Coal Mining","15 Jul 2022","15/07/2022","","","18/07/2022","","","22/07/2022","","","Delisted"
"340",22,"SIA/OR/MIN/76823/2020","For the grant of EC of Anjira Black Stone quarry No-12 (Cluster Serial No-1A/9), (Khata No-1729, Plot No-1385(p)) over an area of 6.00 acres or 2.43 hacters in village Anjira under Dharmasala Tahasil of Jajpur District, Odisha.","Non-Coal Mining","10 May 2022","10/05/2022","","","12/05/2022","","","19/05/2022","","06/06/2023","EC Granted"
"341",23,"SIA/OR/MIN/271996/2022","ANJIRA BLACK STONE QUARRY NO 4 OVER 6.00 AC OR 2.428 HECT IN VILLAGE ANJIRA UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","Non-Coal Mining","10 May 2022","10/05/2022","","","12/05/2022","","","19/05/2022","","07/06/2022","EC Granted"
"342",24,"SIA/OR/MIN/255279/2022","Proposal for grant of Environmental Clearance of Jojananuapada Stone Quarry-I over an area of 3.00 Acres or 1.214 Hectares in village Jojananuapada under Kalahandi tahasil of Kalahandi district.","Non-Coal Mining","05 Feb 2022","05/02/2022","08/02/2022","","","","","","","","Delisted"
