"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"299","SIA/OR/MIN/254484/2022","254484/222-MINB2/02-2022","Proposal for grant of Environmental Clearance of Matikod Sand Quarry over an Area of 12.355 Acres or 5.00 Hect. in Matikod Village under Sonepur Tahasil of Subarnapur District","TAHASILDAR  SONEPUR","EC Granted","EC",NA
"300","SIA/OR/MIN/54898/2020","54898/193-MINB1/02-2022","Uttamapur Sand Bed mines on river Kuakhai over an area of 5.67 Ha/ 14 Acre in village Uttampur, under Cuttack district of Tahasildar, Sadar Cuttack","CHINMAYEE MUDULI","EC Granted","EC",NA
"301","SIA/OR/MIN/254339/2022","254339/223-MINB2/02-2022","Proposal for grant of EC of NILIMARI MORRUM QUARRY over an area 5.44 acres or 2.205 hect in Nilimari village of Malkangiri tahasil in Malkangiri district, Odisha","TAHASILDAR MALKANGIRI","EC Granted","EC",NA
"302","SIA/OR/MIN/66461/2021","66461/75-MINB1/02-2022","EXPANSION OF OSTAPAL CHROMITE MINE (ML AREA: 72.843 HA) FOR INCREASE IN PRODUCTION FROM 0.2 MTPA TO 0.240 MTPA CHROMITE ORE (ROM) WITH MAXIMUM EXCAVATION OF 0.579 MILLION CUM PER ANNUM AND BENEFICIATED CHROME ORE OF 0.1 MTPA THROUGH OPENCAST MINING METHOD AT VILLAGE: GURUJANGA, TEHSIL SUKINDA, DISTRICT JAJPUR, STATE ODISHA","FERRO ALLOYS CORPORATION LTD","EC Granted","EC",NA
"303","SIA/OR/MIN/66179/2020","66179/151-MINB1/09-2021","Environmental Clearance for Sand Mining with production capacity 4000 Cum./Annum (14730 Cum for plan period) Madhapur Sand Quarry present in river Kusumi over an area of         12.50 acres (5.059 ha.)  located in Village- Madhapur, Tahasil – Bhapur, in district Nayagarh of Odisha with Open cast Manual Mining Method by  Sri Benudhar Pradhan, At/Po- Fatehgarh, PS- Bhapur, in the district of Nayagarh","BENUDHR PRADHAN","EC Granted","EC",NA
"304","SIA/OR/MIN/283478/2022","283478/346-MINB2/07-2022","Proposal for grant EC of LAMBARUPALI STONE QUARRY over an area 0.60acre or 0.243hec in village Lambarupali under Sohela tahasil of Bargarh district Odisha.","KANHAIYA AGRAWAL","EC Granted","EC",NA
"305","SIA/OR/MIN/59913/2021","59913/255-MINB1/07-2022","New proposed project of Jaipur & Nuapada Mahanadi Patha Cluster sand Quarry with proposed excavation of 51,000 m3/year of sand of Tahasildar Raghunathpur having an area of 16.16 Ha. Located at Khata No. 324 & 703, Plot No.282,2717,389,538,260 & 261, At- Jaipur & Nuapada under Raghunathpur Tahasil of Jagatsinghpur District, Odisha.","TAHASILDAR RAGHUNATHPUR","Delisted","EC",NA
"306","SIA/OR/MIN/56482/2020","56482/91-MINB1/07-2022","Kunteshu Decorative Stone (Garnetiferous Granite Gneiss) mine over an area of 13.703 Ha (33.86 Acres), located in village Kunteshu No.52, under Tehsil Bandhugaon, District Koraput, Odisha","SRI NEMANI RAMKRISHNA","EC Granted","EC",NA
"307","SIA/OR/MIN/266069/2022","266069/625-MINB1/04-2022","For the grant of EC of Bichhakhandi Black Stone quarry No-1 (Khata No-822, Plot No-2338(p)) over an area of 5.00 acres or 2.023 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.","TAHASILDAR DHARMASALA","EC Granted","EC",NA
"308","SIA/OR/MIN/264464/2022","264464/390-MINB2/07-2022","Proposal for EC Kuruan Danta River Sand Bed over an area 12.10acres or 4.896hectares in Kuruan village of Bargarh tahasil in Bargarh district Odisha","BARGARH TAHASIL","Delisted","EC",NA
"309","SIA/OR/MIN/265860/2022","265860/258-MINB2/04-2022","Proposal for EC Jhilminda Sand Quarry over an area 12.00acres or 4.856hectares in Jhilminda village of Attabira  tahasil in Bargarh district Odisha","TAHASILDAR ATTABIRA","EC Granted","EC",NA
"310","SIA/OR/MIN/64155/2021","64155/271-MINB1/07-2022","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","TAHASILDAR BALANGIR","WithdrawEC","EC",NA
"311","SIA/OR/MIS/73045/2021","73045/12-MIS/03-2022","Proposal for Environment Clearance of M/s Renewable Envirogic Pvt. Ltd.  for setting up a Common Bio-Medical Waste Treatment Facility (CBMWTF) over lease area 0.60 ha/1.5 acres located at village Sialbahali, Tahasil-Balangir, Dist-Balangir","RENEWABLE ENVIROGIC PRIVATE LIMITED","EC Granted","EC",NA
"312","SIA/OR/MIN/262665/2022","262665/322-MINB2/07-2022","JAMERA SAND BED  C","KULAMANI RANBIDA","Rejection Letter Granted","EC",NA
"313","SIA/OR/MIS/146406/2020","","“Parsuram Bhuman” Residential Housing Complex of M/s KNP Developers Private Limited  at Mouza- Ambapua , Tehsil -Berhampur & District- Ganjam,  State- Odisha.","KNPDEVELOPERSBAM@GMAIL.COM","Delisted","EC",NA
"314","SIA/OR/MIN/236936/2021","236936/49-MINB2/11-2021","MAGURBEDA STONE QUARRY","TAHASILDAR LOISINGHA","EC Granted","EC",NA
"315","SIA/OR/MIN/253221/2022","253221/212-MINB2/01-2022","Proposal for Fresh EC of Gopalpursasan Sand Quarry over an area of 12.344 Acres or 4.996 Hectares having Khata No.271, Plot No.1501, at village-Gopalpursasan, Tahasil-Surada, Dist-Ganjam, Odisha","BORKUL DORA","EC Granted","EC",NA
"316","SIA/OR/MIN/274640/2022","","Pedakonda Stone Quarry over an area of 7.00 ac or 2.835 ha in Pedakonda village of Malkangiri tehsil in Malkangiri district of Odisha","PRADEEP KUMAR DASH","Delisted","EC",NA
"317","SIA/OR/MIS/230667/2021","230667/51-MIS/09-2021","Residential Colony Project","MS BUILDERS CONSORTIUM TRIDEV","EC Granted","EC",NA
"318","SIA/OR/MIN/37895/2019","37895/62-MINB1/11-2021","Khatkurbahal Limestone & Dolomite Mine (ML Area-72.439 ha) with Expansion in Production Capacity from 0.3475 Million TPA to 1.50 Million TPA Limestone (Including Sub-grade), 0.20 Million m3 per annum OB/Waste/SB/IB/Low grade Dolomite and 0.108 Million m3 per annum  Top Soil with mobile crusher with screen of 500 TPH Capacity Near Villages- Khatkurbahal & Kulenbahal, Tehsil – Kurta, District- Sundergarh (Odisha)","SHIVA CEMENT LTD","EC Granted","EC",NA
"319","SIA/OR/MIN/237304/2021","237304/84-MINB2/11-2021","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR BAITARANI RIVER SAND OVER AN AREA OF 4.856 HECTARE OR 12.00 ACRES IN VILLAGE GIRIGAON UNDER HATADIHI TAHASIL OF KEONJHAR DISTRICT OF ODISHA.ARANCE","TAPAN KUMAR PANDA","EC Granted","EC",NA
"320","SIA/OR/MIN/282772/2022","282772/777-MINB2/07-2022","Proposal for Environmental Clearance of Umer Stone Quarry over an area of 2.0 Acres 0.809 ha at village Umer under Jaipatna Tahasil Kalahandi District","JAYA PANDA","EC Granted","EC",NA
"321","SIA/OR/MIN/262385/2022","262385/234-MINB2/03-2022","Baladia Brick Earth Quarry Over an area of 0.61 Acres or 0.246 hectares in village Baladia  under Morada Tahasil of Mayurbhanj District of Odisha.","MUCHIRAM BEHERA","EC Granted","EC",NA
"322","SIA/OR/MIN/279758/2022","","Dumuripadar Morrum Quarry over an area of 3.72 acers or 1.506 Ha having Khata No. 130 Plot No. 87/2 in the village Dumuripadar, Tahasil Koraput in district Koraput, State Odisha","TAHASILDAR KORAPUT","Pending at PP due to eds","EC",NA
"323","SIA/OR/MIN/279760/2022","279760/309-MINB2/06-2022","Ambagaon Morrum Quarry over an area of 5.00 acers or 2.024 Ha having Khata No. 103 Plot No. 500 in the village Ambagaon, Tahasil Koraput in district Koraput, State Odisha.","TAHASILDAR KORAPUT","EC Granted","EC",NA
"324","SIA/OR/MIN/279599/2022","279599/308-MINB2/06-2022","PROPOSAL FOR FRESH EC OF PUTU STONE QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES HAVING KHATA NO.433 & PLOT NO.2020, AT VILLAGE PUTU UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA OF SRI BANSIDHAR GOUDA","BANSIDHAR GOUDA","EC Granted","EC",NA
"325","SIA/OR/MIN/279935/2022","279935/325-MINB2/07-2022","For the grant of EC of Sodamal sand Bed-D (Khata No-491, Plot No-1(p)) over an area of 12.30 acres or 4.977 hacters in village Sodamal under Kolabira Tahasil of Jharsuguda District, Odisha.","TAHASILDAR KOLABIRA(ON BEHALF OF SUCCESSFUL BIDDER)","EC Granted","EC",NA
"326","SIA/OR/MIN/58351/2020","58351/78-MINB1/11-2020","Cluster-1 mine  constituted of Anjira & Makundpur hillocks over an area of 137.86 Acres or 55.79 Hectares located in villages Anjira & Makundpur of Tahasil Dharmasala & District Jajpur, Odisha including 15 nos of mining lease.","DHARMASALA TAHASIL","EC Granted","EC",NA
"327","SIA/OR/IND/64791/2019","64791/24-IND/11-2021","Proposed new Cement Grinding Unit of Chariot Cement Company [A Unit of M/s Chariot Steel & Power (P) Ltd. (CSPPL)] to be established at Kalunga Industrial Estate, Tehsil-Lathikata, District-Sundargarh, Odisha for production of 0.99 Lakh TPA PSC/PPC/OPC Cement.","CHARIOT CEMENT COMPANY A UNIT OF CHARIOT STEEL AND POWER PVT LTD","EC Granted","EC",NA
"328","SIA/OR/MIS/235083/2021","235083/55-MIS/11-2021","Proposed 2B+G+16 storied Residential Apartment Building of Chhend Heritage Homes Pvt. Ltd. Plot No. 288(P) & 289/432(P)  Khata No. 9, Mouza- Chhend, R.T.U - 3, P.S. Chhend, Tehsil-Rourkela, Sundargarh, Odisha over an area of 1.75 Acres (7081.94 sq.mt","CHHEND HERITAGE HOMES PVT LTD","EC Granted","EC",NA
"329","SIA/OR/IND2/284364/2022","","Proposal for production of 0.540  KLD Mahua Flower Based Country Liquor Manufacturing Unit, Rimuli Main Out Still Shop at Rimuli, Tahasil- Champua, Dist- Keonjhar.","RABINDRA NAYAK","WithdrawEC","EC",NA
"330","SIA/OR/MIN/284582/2022","284582/420-MINB2/08-2022","PROPOSAL FOR FRESH EC OF DALAKBAHAL STONE QUARRY OVER AN AREA OF 1.54 ACRES OR 0.623 HECTARES AT VILLAGE DALAKBAHAL UNDER REAMAL TAHASIL OF DEOGARH DISTRICT, ODISHA.","TAHASILDAR,REAMAL","EC Granted","EC",NA
"331","SIA/OR/IND2/284910/2022","284910/14-IND2/07-2022","Proposal for production of 0.540  KLD Mahua Flower Based Country Liquor Manufacturing Unit, Palaspanga Main Out Still Shop at Palaspanga (Jamuposi),Tahasil- Keonjhar Sadar Dist- Keonjhar.","JAGADISH SAHU","EC Granted","EC",NA
"332","SIA/OR/MIN/273275/2022","273275/776-MINB2/06-2022","Proposal for Fresh Ec of Mahanadi River Sand Gopinathpur Over 11.00 Acres Or 4.51 Ha In Village Gopinathpur under Salipur Tahasil Of Cuttack District Odisha","TAHASILDAR SALIPUR","EC Granted","EC",NA
"333","SIA/OR/MIN/246853/2021","246853/413-MINB2/08-2022","TARKABEDA BLACK STONE QUARRY- 03 OVER AN AREA OF 2.023HA UNDER HINDOL TAHASIL OF DHENKANAL DISTRICT ODISHA","","Delisted","EC",NA
"334","SIA/OR/MIN/246879/2021","","Proposal for grant of Environmental Clearance of LAKHNA-II STONE QUARRY over an area 7.20ac or 2.913hec in Lakhna village of Komna Tahasilmin Nuapada dist. odisha","TAHASILDAR KOMNA","Delisted","EC",NA
"335","SIA/OR/MIN/283603/2022","283603/347-MINB2/07-2022","PROPOSAL FOR FRESH EC OF RAIPAL-JAMBUA SAND QUARRY OVER AN AREA OF 12.00 ACRES OR 4.856 HECTARES AT VILLAGE RAIPAL-JAMBUA UNDER PALLAHARA TAHASIL OF ANUGUL DISTRICT, ODISHA","TAHASILDAR, PALLAHARA","EC Granted","EC",NA
"336","SIA/OR/MIN/283962/2022","283962/781-MINB2/07-2022","Nagajhar Stone Quarry  over an area of 2.00 Acres or 0.809hectares in village Nagajhar of Ranapur Tahasil of Nayagarh District of Odisha of  Tahasildar,Ranpur on Behalf of Sucessful Bidder.","RANPUR TAHASILDAR","EC Granted","EC",NA
"337","SIA/OR/MIN/259948/2022","259948/232-MINB2/03-2022","Manaharpur Brick Earth Quarry Over an area of 2.05 Acres or 0.829 hectares in village Manaharpur under Bangiriposi Tahasil of Mayurbhanj District of Odisha.","RADHA NAYAK","Delisted","EC",NA
"338","SIA/OR/MIN/260059/2022","260059/233-MINB2/03-2022","Tambakhuri Brick Earth Quarry Over an area of 3.78 Acres or 1.529 hectares in village Tambakhuri  under Rasgobindpur Tahasil of Mayurbhanj District of Odisha.","RANJIT SAHU","EC Granted","EC",NA
"339","SIA/OR/MIN/247381/2021","247381/160-MINB2/12-2021","Langalsila Stone Quarry 1 over an area of 2.550 Acre or 1.030 Hectares in village Langalsila under Kusumi Tahasil of Mayurbhanj District of Odisha.","TAHASIILDARKUSUMIMAYURBHANJ","EC Granted","EC",NA
"340","SIA/OR/MIN/239034/2021","239034/125-MINB2/12-2021","Proposal for Fresh EC of Sabara Sand Bed over an area of 6.00 Acres or 2.42 Hectares in village Sabara under Bonai Tahasil of Sundargarh district, Odisha","PHAKIRMOHAN NAIK","EC Granted","EC",NA
"341","SIA/OR/MIS/150373/2020","150373/24-MIS/04-2020","Construction of rOURkela one (Command and Control Centre; Auditorium; & Convention Centre and Tribal Museum) at ROURKELA (Odisha) under Smart City Mission","ROURKELA SMART CITY LIMITED. ROURKELA","EC Granted","EC",NA
"342","SIA/OR/MIN/59606/2021","59606/191-MINB1/01-2022","Kirla Sand Bed Mining Project","SRI PRAKASH CHANDRA MEHER","EC Granted","EC",NA
"343","SIA/OR/MIS/149248/2020","149248/24-MIS/03-2020","Proposed Housing Project (Residential Use Type) of M/s Utkal Builders Limited","UTKAL BUILDERS LTD","EC Granted","EC",NA
"344","SIA/OR/MIN/54796/2020","54796/196-MINB1/02-2022","Subarnapur Sand Mines,on Kathajodi River at village Subarnapur under Sadar Cuttack Tahasil of Cuttack District, Odisha, over an area of  8.30Ha or 20.50Acres","RAJENDRA SINGH","EC Granted","EC",NA
"345","SIA/OR/MIN/71514/2020","71514/253-MINB1/07-2022","Brahmani River Sand Quarry, Talajhagadapda over an area of 12.50 Acre/5.06 Ha. located at Talajhagadapda village of Kamakhyanagar Tahasil in district of Dhenkanal of State Odhisha","TAHASILDAR KAMAKHYANAGAR","EC Granted","EC",NA
"346","SIA/OR/MIN/238445/2021","238445/68-MINB2/11-2021","TURIHALDI STONE QUARRY","M/S UMSL","EC Granted","EC",NA
"347","SIA/OR/MIN/240719/2021","240719/767-MINB2/05-2022","PROPOSAL FOR GRANT OF EC FOR MAHENDRI SAND QUARRY OVER 4.508 HA. OR 11.14 ACRES IN VILLAGE MAHENDRI UNDER PAPADAHANDI TAHASIL OF NABARANGPUR DISTRICT, ODISHA","TDH. PAPADAHANDI","Rejection Letter Granted","EC",NA
"348","SIA/OR/MIN/283257/2022","283257/344-MINB2/07-2022","Proposal for grant of Environmental Clearance for Lakhbahali Stone Quarry II over an area of 4.20 Acres or 1.699 Hectares in village Lakhbahali under Jaipatna tahasil of Kalahandi district.","TAHASILDAR JAIPATNA","EC Granted","EC",NA
"349","SIA/OR/MIN/228377/2021","228377/17-MINB2/09-2021","NEW PROPOSAL FOR GRANT OF EC FOR DUBURI NEW BUILDING STONE QUARRY OVER 2.72 HA. IN VILLAGE NIJAGADA TAPANGA BY SRI. SUKANTA KUMAR BISWAL","SHRI SUKANT KUMAR BISWAL","EC Granted","EC",NA
"350","SIA/OR/MIN/70067/2020","70067/71-MINB1/01-2022","Bad Agula Decorative stone mines over an area of 12.019 Ha in village: Bad Agaula, Tahasil: Muniguda, Dist:- Rayagada, Odisha (submitted under Cluster approach - Total area under cluster - 28.15 Ha)","M/S HINDUSTAN MINERALS INDUSTRIES","EC Granted","EC",NA
"351","SIA/OR/MIN/244747/2021","244747/201-MINB2/01-2022","SARGIGUDA STONE QUARRY","","EC Granted","EC",NA
"352","SIA/OR/MIN/63923/2021","","Padampuri Stone Quarry 7","TAHSILDAR NUAPADA","WithdrawEC","EC",NA
"353","SIA/OR/MIN/63923/2021","","Padampuri Stone Quarry 6","TAHSILDAR NUAPADA","WithdrawEC","EC",NA
"354","SIA/OR/MIS/254602/2022","254602/74-MIS/02-2022","Expansion of Residential Apartment Project located at Plot No. 552, Khata No. 313, Mouza- Sipasarubali, Puri, Odisha by M/s Evos Buildcon Pvt Ltd.","EVOS BUILDCON PRIVATE LIMITED","EC Granted","EC",NA
"355","SIA/OR/MIN/228401/2021","228401/19-MINB2/09-2021","NEW PROPOSAL FOR EC FOR HATIA NEW BUILDING STONE QUARRY (CHA) OVER 2.43 HA IN VILLAGE NIJAGADA TAPANGA,23/18 UNDER TAHASIL AND DISTRICT OF KHORDHA , ODISHA. APPLICANT - SASMITA ROUTRAY.","SMT. SASMITA ROUTRAY","EC Granted","EC",NA
"356","SIA/OR/MIN/238688/2021","238688/146-MINB2/12-2021","Proposal for fresh EC of Personpally Stone Quarry over an area of 12.355 Acres or 5.00 Ha in village Personpally under Motu Tahasil of Malkangiri district, Odisha","POOJA GUPTA","EC Granted","EC",NA
"357","SIA/OR/MIN/237383/2021","237383/67-MINB2/11-2021","NEW PROPOSAL FOR KAIPADAR NEW BUILDING STONE QUARRY (KA) OVER AN AREA OF 3.035 HECTARE OR 7.50 ACRES IN VILLAGE KAIPADAR UNDER TAHASIL AND DISTRICT OF KHORDHA, ODISHA.","SRI SRIKANTA RANJAN BADU","EC Granted","EC",NA
"358","SIA/OR/MIN/251640/2022","251640/571-MINB2/02-2022","Alapua Brahmani Nadi Sand","TAHASILDAR PATTAMUNDAI","EC Granted","EC",NA
"359","SIA/OR/MIN/285232/2022","285232/382-MINB2/07-2022","Proposal for grant of Environmental Clearance for Brahmani Sand Bed over an area of 12.355 Acres or 5.00 Hectares in village Brahmani under Narla tahasil of Kalahandi district.","BASANTA MAHAPATRA","Rejection Letter Granted","EC",NA
"360","SIA/OR/MIN/58381/2020","58381/84-MINB1/11-2020","Cluster-8 mine constituted of Sahanidiha hillocks over an area of 49.62 Acres or 20.08 Hectares located in villages Sahanidiha of Tahasil Dharmasala & District Jajpur, Odisha including 2 nos of mining lease areas.","DHARMASALA TAHASIL","EC Granted","EC",NA
"361","SIA/OR/MIN/239954/2021","","Proposal for grant of EC of Ghatkaintara Sand Quarry over an area of 12.350 Acres or 4.99 Ha. in village Ghatkaintara under Tarbha tahasil in Subarnapur district.","TAHASILDAR,TARBHA","WithdrawEC","EC",NA
"362","SIA/OR/MIN/284269/2022","284269/361-MINB2/07-2022","Proposal for grant EC of CHANABEDA II STONE QUARRY over an area 5.63acre or 2.278hec in village Chanabeda under Khariar Tahasil of Nuapada district Odisha.","KHARIAR TAHASIL","EC Granted","EC",NA
"363","SIA/OR/MIN/80992/2007","80992/735-MINB1/08-2022","Environmental Clearance for production of Manganese Ore 0.04 MTPA and Iron Ore 0.3 MTPA at Kolmong Iron & Manganese Block over an area of 218.481 ha (as per DGPS)/218.530 ha (as per RoR) (Forest: 155.326 Ha & Non- Forest: 63.204 Ha) in village-Kolmong under Koira Tahasil of Sundargarh District of Odisha","YAZDANI STEEL & POWER LIMITED","Deferred by SEIAA","EC",NA
"364","SIA/OR/MIN/280118/2022","280118/328-MINB2/07-2022","New proposed project of Deogan Stone  Quarry with proposed excavation of 7650 CUM/year of stone of Tahasildar Kabisuryanagar having an area of 4.694 Ha. Located at Khata No. 744, Plot No. 830/A & 3617/A, At-  Deogan, Tahasil- Kabisuryanagar, District","TAHASILDAR KABISURYANAGAR","EC Granted","EC",NA
"365","SIA/OR/MIN/280163/2022","280163/316-MINB2/06-2022","Tiridabanzar-A Morrum Quarry over an area of 11.400 Acers or 4.613 Ha having Khata No. 339 Plot No.1247 in the village Tiridabanzar, Tahasil Kodala in district Ganjam, State Odisha.","BASUMATI PANDI","EC Granted","EC",NA
"366","SIA/OR/MIN/278339/2022","","Grant of EC of Chitropatala River Sand Quarry over an area of 5 Ha village in chitropatala under nischinatkoili Tahasil of Cuttack  District Odisha","TAHASILDAR NISCHINTAKOILI","WithdrawEC","EC",NA
"367","SIA/OR/MIN/21544/2014","21544/24-MINB1/08-2020","Kakudi and Kishoripal Sand Mine","Mahanadi Coalfields Limited","EC Granted","EC",NA
"368","SIA/OR/MIN/241275/2021","","Dhudhalmunda Stone Quarry-3","DHIRAJ KUMAR AGRAWALLA","Delisted","EC",NA
"369","SIA/OR/MIN/241967/2021","241967/518-MINB2/01-2022","BIJAYABASA SAND BED OVER AN AREA OF 12.35 ACRES OR 5.00 HECTARES IN VILLAGE BIJAYABASA UNDER TIRING TAHASIL OF MAYURBHANJ DISTRICT ODISHA","TAHASILDAR,TIRING","EC Granted","EC",NA
"370","SIA/OR/MIN/244768/2021","244768/514-MINB2/01-2022","GANDANALI BLACK STONE QUARRY","","EC Granted","EC",NA
"371","SIA/OR/MIN/257991/2022","257991/578-MINB2/02-2022","Gandala Brick Earth Quarry over an area of 0.479 acres or 0.194 ha in village Gandala under Hinjilicut Tahasil","SURENDRA PARIDA","ADS by SEAC","EC",NA
"372","SIA/OR/MIN/21661/2018","21661/02-MINB1/03-2019","Pipalpadar Gemstone Deposit (Cat's Eye) overan area of 17.122 Ha in village Pipalpadar and Sirjapali, Taluka- Kesinga, Dist-Kalahandi, Odisha of M/s Sanjukta Gems.","SANJUKTA JEMS","EC Granted","EC",NA
"373","SIA/OR/MIN/237334/2021","237334/72-MINB2/11-2021","DUMDUMI STONE QUARRY","BHAGIRATHA AGRAWAL","EC Granted","EC",NA
"374","SIA/OR/MIN/238606/2021","238606/76-MINB2/11-2021","PROPOSAL FOR GRANT OF EC OF SAMANTARAPUR STONE QUARRY OVER 0.401HA OR 1.00AC IN VILLAGE SAMANTARAPUR IN TAHASIL BEGUNIA OF KHORDHA DISTRICT.","SRI PRAKASH CHANDRA RAUTARAY","EC Granted","EC",NA
"375","SIA/OR/MIN/226883/2021","226883/09-MINB2/08-2021","DHANIA NEW STONE QUARRY (CHHA)","SRI JATINDRA DAS","EC Granted","EC",NA
"376","SIA/OR/MIN/226892/2021","226892/31-MINB2/08-2021","Sankhari South New Stone Quarry ( CHA ) , 2/18","SHRI SOUBHAGYA CHANDRA DAS","EC Granted","EC",NA
"377","SIA/OR/MIN/249533/2022","249533/172-MINB2/01-2022","Handidhua-Paikasahi-Muruda Jambhira River Sand Bed Over an area of 9.15 Acres or 3.702hectares in village Handidhua,Paikasahi & Muruda under Rasgobindpur Tahasil of Mayurbhanj District of Odisha.","TAGASILDAR RASGOBINDPUR","EC Granted","EC",NA
